2015-10-13 오후 2:51: Everything 1.3.4.686 (x64): .\src\tray.c(106): _tray_add_taskbar_icon(): Failed to notify shell icon, GetLastError(): 1008
2015-10-13 오후 3:04: Everything 1.3.4.686 (x64): .\src\tray.c(106): _tray_add_taskbar_icon(): Failed to notify shell icon, GetLastError(): 1008
2015-10-13 오후 3:04: Everything 1.3.4.686 (x64): .\src\tray.c(106): _tray_add_taskbar_icon(): Failed to notify shell icon, GetLastError(): 1008
2015-10-13 오후 3:44: Everything 1.3.4.686 (x64): .\src\tray.c(106): _tray_add_taskbar_icon(): Failed to notify shell icon, GetLastError(): 1008
2015-10-13 오후 3:44: Everything 1.3.4.686 (x64): .\src\tray.c(106): _tray_add_taskbar_icon(): Failed to notify shell icon, GetLastError(): 1008
2015-10-13 오후 5:51: Everything 1.3.4.686 (x64): .\src\tray.c(106): _tray_add_taskbar_icon(): Failed to notify shell icon, GetLastError(): 1008
2015-10-13 오후 5:56: Everything 1.3.4.686 (x64): .\src\tray.c(106): _tray_add_taskbar_icon(): Failed to notify shell icon, GetLastError(): 1008
2015-10-13 오후 5:56: Everything 1.3.4.686 (x64): .\src\tray.c(106): _tray_add_taskbar_icon(): Failed to notify shell icon, GetLastError(): 1008
2015-10-13 오후 7:00: Everything 1.3.4.686 (x64): .\src\tray.c(106): _tray_add_taskbar_icon(): Failed to notify shell icon, GetLastError(): 1008
2015-10-13 오후 7:01: Everything 1.3.4.686 (x64): .\src\tray.c(106): _tray_add_taskbar_icon(): Failed to notify shell icon, GetLastError(): 1008
2015-10-13 오후 7:01: Everything 1.3.4.686 (x64): .\src\tray.c(106): _tray_add_taskbar_icon(): Failed to notify shell icon, GetLastError(): 1008
2016-01-05 오전 10:58: Everything 1.3.4.686 (x64): .\src\tray.c(106): _tray_add_taskbar_icon(): Failed to notify shell icon, GetLastError(): 1008
2016-01-05 오전 11:31: Everything 1.3.4.686 (x64): .\src\tray.c(106): _tray_add_taskbar_icon(): Failed to notify shell icon, GetLastError(): 1008
